;Proband;6;9;12;15;18;21
0;1;0.26511111111111113;0.3979285714285714;0.2274;0.24630000000000002;0.2856923076923077;0.33773333333333333
1;2;0.43883333333333335;0.46299999999999997;0.6273333333333333;0.3606;0.546;0.5184444444444445
2;3;0.5397619047619047;0.43873684210526315;0.3779130434782609;0.37625;0.2576315789473684;0.35426086956521735
3;4;0.3358095238095238;0.4595;0.5117777777777778;0.5190333333333333;0.4466969696969697;0.6084999999999999
4;5;0.440625;0.1890909090909091;0.6234999999999999;0.5604285714285714;1.0143636363636364;0.7739333333333334
5;6;0.3856;0.4010909090909091;0.7378181818181818;0.6525714285714287;0.5803684210526315;0.515
6;7;0.18109999999999998;0.5544444444444445;0.6264285714285714;0.639923076923077;0.6322222222222222;0.6708
7;8;0.23653846153846156;0.41158333333333336;0.29407692307692307;0.3709090909090909;0.41;0.396375
8;9;0.48840000000000006;0.12940000000000002;0.3758;0.4837142857142857;0.4733636363636364;0.38766666666666666
9;10;0.4126923076923077;0.35154166666666664;0.4478620689655172;0.35738461538461536;0.39866666666666667;0.33591304347826084
10;11;0.62890625;0.4587407407407407;0.38591304347826083;0.4633809523809524;0.5156428571428572;0.5251666666666667
11;12;0.1568;0.5721999999999999;0.35650000000000004;0.5553636363636364;0.41133333333333333;0.540125
12;13;0.3378461538461538;0.0906;0.58475;0.6587500000000001;0.40731249999999997;0.2786
13;14;0.33714285714285713;0.66675;0.703875;0.5575454545454546;0.6567500000000001;0.5457142857142857
14;15;0.18094117647058824;0.43979999999999997;0.596;0.44399999999999995;1.1223333333333334;0.6045
15;16;0.2031666666666667;0.5263181818181818;0.50492;0.42282608695652174;0.3627391304347826;0.4448076923076923
16;17;0.28014285714285714;0.3504;0.6049166666666667;0.7155454545454546;0.628076923076923;0.44722222222222224
17;18;0.31816666666666665;0.9810000000000001;0.39990909090909094;0.261;0.35262499999999997;0.30633333333333335
18;19;0.3365833333333333;0.416;0.28955555555555557;0.38711111111111113;0.45280000000000004;0.41980000000000006
19;20;0.2098;0.6455;0.4465714285714286;0.5367857142857143;0.6357499999999999;0.28115384615384614
20;22;0.5320909090909091;0.518625;0.5694285714285714;0.5474444444444444;0.4289090909090909;0.7759
21;23;0.17500000000000002;0.57725;0.5589999999999999;0.9272;0.4753333333333334;0.40412499999999996
22;24;0.40449999999999997;0.6900999999999999;0.7446153846153846;0.655;0.5987272727272728;0.7889
